Type_Test,Code_Langue,Code_Niveau_Email,Code_Profil,Element,Ordre,Contenu / ID_Document
ANCRES,FR,"N1,N2,N3",CREATION,Document,110,1n4_k2lLoDgBHsXsO0D0alkfXC8N7SsBy
ANCRES,FR,"N1,N2,N3",CREATION,Document,111,1Ac4VjXvRIbk44zATADEPtbfFE4nhUBzP
ANCRES,FR,"N1,N2,N3",SERVICE,Document,110,1ginYqj_4xgsJ82HWvBYLbzZTMW3D5lia
ANCRES,FR,"N1,N2,N3",SERVICE,Document,111,1q1XTkp2YXezM8_wEylbak7FajU7n7UlS
ANCRES,FR,"N1,N2,N3",DEFI,Document,110,1t19tJwElIziPKnE2CghKk3MiOUXzVnJk
ANCRES,FR,"N1,N2,N3",DEFI,Document,111,1vAiS7mGwTCynPiYcv0cAva1pgJazBn1k
ANCRES,FR,"N1,N2,N3",EQUILIBRE,Document,110,15VVgnO0IRp4JQcxOK3DfDVZiuRKNM_uH
ANCRES,FR,"N1,N2,N3",EQUILIBRE,Document,111,1_Iazf3UaS5J63XiHRBD4J2Onz9Lb38az
MBTI,EN,"N1,N2,N3",,Corps_Texte,31,We remain available for a personalized debriefing of these results.
MBTI,EN,"N1,N2,N3",,Corps_Texte,40,"Sincerely,"
MBTI,EN,"N1,N2,N3",,Corps_Texte,41,Your Trainer
MBTI,EN,N3,,Sujet_Email,0,N3 Detailed analysis of your MBTI profile
MBTI,FR,"N1,N2,N3",,Ligne_Score,19,- {{nom_profil}} : {{score}} points / {{total_possible}}
MBTI,EN,"N1,N2,N3",,Ligne_Score,19,- {{nom_profil}} : {{score}} points / {{total_possible}}
,FR,"N1,N2,N3",,Info_Copie,5,"<p style=""color:#666; font-style:italic;"">--- Ceci est une copie des résultats de <strong>{{Votre_nom_et_prenom}}</strong> ({{Votre_adresse_e_mail}}) ---</p><hr>"
,EN,"N1,N2,N3",,Info_Copie,5,"<p style=""color:#666; font-style:italic;"">--- This is a copy of the results for <strong>{{Votre_nom_et_prenom}}</strong> ({{Votre_adresse_e_mail}}) ---</p><hr>",,,,,,a
r&K_Environnement,FR,N1,,Sujet_Email,0,Synthèse r&K – Environnement
r&K_Environnement,EN,N3,,Document,110,1ms0pM_CHPJhSMMXFNa0OWstyjF7WL7dQeYxXN08LnTg
r&K_Environnement,FR,N2,,Sujet_Email,0,Analyse r&K – Environnement (détaillée)
r&K_Environnement,FR,N3,,Sujet_Email,0,Diagnostic r&K – Environnement (expert)
r&K_Environnement,FR,"N1,N2,N3",,Introduction,1,"Bonjour {{Votre_nom_et_prenom}},"
r&K_Environnement,EN,N1,,Sujet_Email,0,r&K Summary – Environment
r&K_Environnement,EN,N2,,Sujet_Email,0,r&K Analysis – Environment (detailed)
r&K_Environnement,EN,N3,,Sujet_Email,0,r&K Diagnostic – Environment (expert)
r&K_Environnement,EN,"N1,N2,N3",,Introduction,2,Please find your r&K the diagnosis of your company’s environment.
r&K_Environnement,FR,"N1,N2,N3",,Info_Copie,5,"<p style=""color:#666; font-style:italic;"">--- Copie des résultats de <strong>{{Votre_nom_et_prenom}}</strong> ({{Votre_adresse_e_mail}}) — Diagnostic r&amp;K Environnement ---</p><hr>"
r&K_Environnement,FR,"N1,N2,N3",,Corps_Texte,12,Synthèse de votre position : {{Titre_Profil}}
r&K_Environnement,FR,"N1,N2,N3",,Corps_Texte,15,Deux dimensions sont évaluées : la **Stabilité (K)** et la **Vitesse de mouvement (r)**.
r&K_Environnement,FR,"N1,N2,N3",,Corps_Texte,18,Repères de lecture : un score élevé en Stabilité indique un environnement prévisible ; un score élevé en Vitesse indique des changements rapides.
r&K_Environnement,FR,"N1,N2,N3",,Corps_Texte,19,Détail de vos scores :
r&K_Environnement,FR,"N1,N2,N3",,Ligne_Score,20,- {{nom_profil}} : {{score}} / 10
r&K_Adaptabilite,FR,"N1,N2,N3",,Champ_Profil,30,Recommandation_Generale
